NAME,ADDRESS,PHONE,LAT,LONG
Tom Sawyer Restaurant,"98 Ridgewood Ave, Paramus, NJ",(201) 261-0111,40.9661765,-74.0710884
New Tri-Boro Diner,"515 Essex St., Hackensack, NJ",(201) 343-7651,40.8866213,-74.0642783
Georgia Diner,"2201 Nottingham Way, Mercerville, NJ",(609) 584-7475,40.2331998,-74.7039765
Pompton Lakes Diner,"246 Wanaque Ave., Pompton Lakes, NJ",(973) 248-1700,41.00435299999999,-74.292513
Wildwood Diner,"4005 Atlantic Ave, Wildwood, NJ",(609) 522-3531,38.98571,-74.8154164
Cup &amp; Saucer,"663 W. Broad St., Paulsboro, NJ",(609) 423-6403,39.8267488,-75.2536243
Westfield Diner,"309 North Ave, Westfield, NJ",(908) 233-5200,40.6530676,-74.3238037
Riverview Diner ,"7850 River Rd, North Bergen, NJ",(201) 868-5400,40.7963239,-73.9960751
Versailles Diner,"516 Route 46 East, Fairfield, NJ",(973) 227-0508,40.8905538,-74.27224290000001
Madison Four Diner Resaurant,"1212 Madison Ave, Paterson, NJ",(973) 684-2525,40.8999931,-74.1607504
Athens Diner,"1002 Harrison Ave., Kearny, NJ",(201) 998-5536,40.7484823,-74.1426303
Macedonia Restaurant,"1024 Route 206, Bordentown, NJ",(609) 298-3205,40.1373114,-74.70446140000001
Rustic Mill Diner,"109 North Ave, Cranford, NJ",(908) 272-7016,40.6542539,-74.31806809999999
Randolph Diner,"517 Route 10, Randolph, NJ",(201) 328-2400,40.861942,-74.569918
Scotchwood Diner-Restaurant,"1934 Route 22, Scotch Plains, NJ",(908) 322-4114,40.655305,-74.40176009999999
Skyline Diner,"5914 Park Ave., West New York, NJ",(201) 861-8865,40.78532209999999,-74.0092686
Four Star Diner,"543 32nd St., Union City, NJ",(201) 866-0101,40.7732737,-74.0303692
VIP Diner Restaurant,"175 Sip Ave, Jersey City, NJ",(201) 792-1400,40.7313157,-74.06758119999999
Felix NO. 9 Diner,"1244 Route 22, Bridgewater, NJ",(908) 725-8118,40.5779728,-74.58325649999999
Anderson Diner,"703 Anderson Ave., Cliffside Park, NJ",(201) 941-4808,40.8288741,-73.986642
Nasa Diner,"302 Cuthbert Blvd, Cherry Hill, NJ",(609) 663-1770,39.9400325,-75.05201699999999
Little Nick's Village Diner,"491 Williamstown  New Freedom Rd., Sicklerville, NJ",(609) 728-2880,39.7203208,-74.9663716
Paramount Diner,"130 Main St., Manasquan, NJ",(908) 223-2581,40.1232326,-74.050148
Somerset Diner,"1040 Easton Ave., Somerset, NJ",(908) 828-5424,40.5155227,-74.4886822
Parkview Diner,"354 Fairview Ave., Fairview, NJ",(201) 945-4102,40.8101815,-74.00110169999999
White Rose System,"201 1st Ave, Roselle, NJ",(908) 241-9639,40.659661,-74.2666861
Athenia Diner,"531 Van Houten Ave., Clifton, NJ",(973) 773-3464,40.85613559999999,-74.1450148
Huck Finn Diner,"2431 Morris Ave., Union, NJ",(908) 810-9000,40.7022354,-74.2879954
Olympia Diner,"460 Maple Ave., Elizabeth, NJ",(908) 289-2465,40.6529984,-74.2139823
Miss America Diner,"322 West Side Ave, Jersey City, NJ",(201) 333-5468,40.7130431,-74.089671
Paul's Family Diner,"320 Route 46 East, Mountain Lakes, NJ",(973) 627-4436,40.8839273,-74.4600882
Ritz Diner,"72 E Mt Pleasant Ave, Livingston, NJ",(973) 533-1213,40.7963033,-74.3119853
Park Side Diner,"314 Commercial Ave., Palisades Park, NJ",(201) 461-5042,40.8516436,-74.0020533
Max's Grill,"731 Harrison Ave, Harrison, NJ",(973) 483-2012,40.7475369,-74.149286
Elgin Diner,"2621 Mt. Ephraim Ave., Camden, NJ",(609) 962-7155,39.9118996,-75.09960099999999
Colonial Diner,"560 Route 18, East Brunswick, NJ",(908) 254-4858,40.4379306,-74.3915389
Johnnie's Diner,"99 Water St., South River, NJ",(908) 238-1660,40.4513119,-74.37733829999999
Newark Avenue Diner,"361 Newark Ave., Jersey City, NJ",(201) 798-8180,40.726018,-74.053068
Red Oak Diner Restaurant,"2191 Fletcher Ave., Fort Lee, NJ",(201) 461-8668,40.8602389,-73.9715509
Crystal Palace,"1601 County Line Rd., Lakewood, NJ",(908) 364-7272,40.1220658,-74.2619586
Mark Twain Diner Restaurant,"1601 Morris Ave, Union, NJ",(908) 687-1680,40.6922648,-74.2541665
Mack Diner,"150 French St, New Brunswick, NJ",(999) 999-9999,40.4921499,-74.4533991
Nicholas Diner,"88 E. Railway Ave., Paterson, NJ",(973) 278-2556,40.8986528,-74.1563721
Al's Diner,"869 Communipaw Ave., Jersey City, NJ",(201) 4345055,40.721778,-74.084216
Spindletop Diner,"1420 Route 23, Wayne, NJ",(973) 305-8060,40.9320251,-74.26827109999999
Villa Nova Diner,"8601 Atlantic Ave, Wildwood Crest, NJ",(609) 522-5755,38.96231,-74.843355
Andros Diner,"6 Wilson Ave., Newark, NJ",(973) 344-8415,40.7277838,-74.1557273
Gary's White Diamond,"1208 1/2 E. Grand, Elizabeth, NJ",(908) 352-8555,40.6662044,-74.21433560000001
Sage Diner,"1958 Springfield Ave, Maplewood, NJ",(973) 761-1632,40.7203163,-74.2737879
Sindsor Diner,"1030 Raritan Rd, Clark, NJ",(908) 382-7755,40.6269066,-74.31662349999999
Joey's Restaurant and Diner,"474 Washington Ave., Piscataway, NJ",(908) 752-3777,40.5804839,-74.454768
River Star Diner ,"14 Route 57, Hackettstown, NJ",(908) 979-0626,40.834777,-74.82341939999999
Fantazia Diner,"143 Route 9, Marlboro, NJ",(908) 536-3015,40.3496537,-74.30781069999999
Lexington Diner,"351 Lexington Ave., Clifton, NJ",(973) 546-3755,40.8735915,-74.1310383
Seville Diner Restaurant,"289 Broadway, Westwood, NJ",(201) 664-8696,40.9900514,-74.0315365
Regent Diner-Bar,"528 Roosevelt Ave, Carteret, NJ",(908) 969-9481,40.5830543,-74.215222
Madison Grille,"41 Main st, Madison, NJ",(201) 822-1178,40.759021,-74.41595
Glenwood Diner,"265 Glenwood Ave., Bloomfield, NJ",(973) 748-1877,40.79193660000001,-74.1991013
Hogan's Restaurant Diner,"20 Central Ave., Midland Park, NJ",(201) 445-2849,40.9981425,-74.1524488
Millville Queen Diner,"109 E. Broad, Millville, NJ",(609) 327-7667,39.4016814,-75.03827009999999
Polonia Restaurant,"122 Causeway, South River, NJ",(908) 254-4677,40.4509168,-74.3759206
Bridgeton Grill,"1 1/2 E. Broad St., Bridgeton, NJ",(609) 451-0220,39.42778,-75.235981
Park Ridge Diner,"125 Kinderkamack Rd., Park Ridge, NJ",(201) 391-4242,41.032576,-74.034313
Elmwood Park Diner,"375 Market St., Elmwood Park, NJ",(201) 796-6641,40.8997111,-74.1149552
Mountain View Diner &amp; Restaurant,"1203 Bound Brook Rd, Middlesex, NJ",(908) 469-5414,40.5808964,-74.4999416
Riverside Diner,"350 High St, Burlington, NJ",(609) 239-0400,40.077951,-74.858813
Golden Bell Diner,"3320 Route 9 South, Freehold, NJ",(908) 462-7259,40.2219257,-74.26883939999999
Apollo Diner &amp; Restaurant,"101 E. Andrews Ave., Wildwood, NJ",(609) 522-0909,38.985062,-74.823022
Randy's Deli &amp; Diner,"66 S. Main St., Manville, NJ",(908) 575-8748,40.5425665,-74.5875018
Harley Dawn Diner,"1402 Black Horse Pike, Folsom, NJ",(609) 567-6084,39.5730653,-74.8236234
Victoria Diner &amp; Restaurant,"101 Route 10 , Succasunna, NJ",(201) 584-2818,40.864322,-74.635941
Rochelle Park Diner,"222 Rochelle Ave, Rochelle Park, NJ",(201) 843-0068,40.9031041,-74.078173
Lyndhurst Diner,"540 Riverside Ave, Lyndhurst, NJ",(201) 933-7600,40.8117153,-74.1365684
Steve's White Diamond,"624 Bayway, Elizabeth, NJ",(908) 353-9742,40.6461066,-74.21492119999999
Colonial Diner &amp; Restaurant,"429 Lacey Rd., Forked River, NJ",(609) 971-2627,39.8493247,-74.1983599
Duchess Diner,"338 Lake Ave., Metuchen, NJ",(908) 548-5393,40.541085,-74.36548259999999
Pappy's Diner,"315 Union Blvd., Totowa, NJ",(973) 595-1701,40.90447229999999,-74.21118229999999
Sizzle Grill Diner,"1551 Main Ave., Clifton, NJ",(973) 546-6420,40.886195,-74.151175
Jim and Josie's Diner,"101 E. Walnut Ave., North Wildwood, NJ",(609) 522-3733,39.0090521,-74.7920506
Island Diner,"3212 Bayshore Ave., Brigantine, NJ",(609) 266-8773,39.39537800000001,-74.388312
Cristo's Restaurant,"156 Parsippany Rd., Parsippany, NJ",(201) 887-9595,40.8598632,-74.426448
Tony's Freehold Grille,"59 E Main St, Freehold, NJ",(908) 431-8607,40.2616141,-74.2723759
Toshi's Restaurant,"1419 Irving St, Rahway, NJ",(908) 827-2939,40.6066855,-74.2756028
Egg Platter Diner,"159 Crooks Ave., Paterson, NJ",(973) 684-3291,40.8923785,-74.13912429999999
Belmar Diner,"700 Main St., Belmar, NJ",(908) 681-4895,40.1821404,-74.0243011
Ann's Diner,"323 Division St., Elizabeth, NJ",(908) 938-4567,40.667839,-74.189517
Red Tower,"500 Park Ave, Plainfield, NJ",(908) 561-0353,40.6159211,-74.4194384
Sage Diner Restaurant,"1170 Route 73, Mount Laurel, NJ",(609) 727-0770,39.9245018,-74.9514648
Flamingo Restaurant and Bar,"31 Montgomery St., Jersey City, NJ",(201)434-6769,40.7163382,-74.0356114
Butler Family Restaurant &amp; Diner,"134 Main St., Butler, NJ",(201) 838-6690,41.0025461,-74.33962009999999
Cranford Restaurant Diner,"7 North Ave., Cranford, NJ",(908) 272-2800,40.6547682,-74.3139723
Millburn Diner,"72 Essex St, Milburn, NJ",(973) 376-0504,40.7250232,-74.3048759
McLouis Restaurant &amp; Diner,"15 Grand Ave, Montvale, NJ",(201) 666-8651,41.0406237,-74.0310502
Forest Diner,"280 S. Dean St., Englwood, NJ",(201) 567-3216,40.8852711,-73.9806578
GM Diner,"706 Elizabeth Ave., Linden, NJ",(908) 862-7474,40.636824,-74.245507
Cedar Lane Grille,"749 Cedar Lane, Teaneck, NJ",(201) 836-2837,40.8918138,-74.0320225
All Season's Diner,"176 Wycoff Rd., Eatontown, NJ",(908) 542-9462,40.2914585,-74.0552032
Finderne Diner and Deli,"21 Finderne Ave., Bridgewater, NJ",(908) 253-9733,40.561264,-74.57999699999999
Abbie's Diner,"300 Sicomac Ave., Wyckoff, NJ",(201) 8470336,40.9847383,-74.1712558
Prestige Diner,"1318 Springfield Ave., New Providence, NJ",(908) 665-0211,40.7054791,-74.40710539999999
Athenian Diner,"1012 Cox Crow Rd., Toms River, NJ",(908) 341-7111,40.0303685,-74.2232218
Empire Diner,"1315 Route 46 East, Parsippany, NJ",(973) 335-2729,40.8632354,-74.39374289999999
Service Diner,"935 River Dr., Garfield, NJ",(201) 772-2033,40.8848774,-74.1277222
Lucy's Diner,"1 Lakeview Pl & Bloomfield Ave, Verona, NJ",(973) 239-1474,40.83482679999999,-74.2598526
Olympus Diner,"613 White Horse Pike, Egg Harbor, NJ",(609) 965-0797,39.4320081,-74.5113109
American Berkshire Diner,"7024 Bergenline Ave., North Bergen, NJ",(201) 869-0617,40.7965022,-74.0102289
Abel's Place,"17 Ave. A, Newark, NJ",(973) 242-3004,40.7189583,-74.17907459999999
Valley Diner,"267 Closter Dock Rd, Closter, NJ",(201) 767-7530,40.9721404,-73.9601198
White Mana,"470 Tonnele Ave (Route 1), Jersey City, NJ",(201) 963-1441,40.7470601,-74.0615518
Midtown Diner,"12 Church St, Montclair, NJ",(973) 783-2991,40.8136815,-74.2181097
Manville Diner,"50 S. Main St, Manville , NJ",(908) 685-0930,40.5431514,-74.5872067
Forum Restaurant,"211 Route 4, Paramus, NJ",(201) 845-8850,40.91614560000001,-74.0544863
Plaza 46 Diner Restaurant,"440 Phillips Ave., South Hackensack, NJ",(201) 440-3704,40.85494629999999,-74.04683969999999
Gateway Diner,"106 Broadway, Westville, NJ",(609) 456-5554,39.8729537,-75.1254042
Jernee Mill Diner,"20 Jernee Mill Rd., Sayreville, NJ",(908) 613-6160,40.454252,-74.3672945
Wallingron Falls Diner Restaurant,"5 Main Ave, Wallington, NJ",(201) 458-1818,40.8548509,-74.11909
Westwood Diner,"301 Old Hook Rd, Westwood, NJ",(201) 664-7455,40.9829177,-74.01228189999999
Galaxy Diner II,"1034 N. Pearl St., Bridgeton, NJ",(609) 451-9500,39.4577973,-75.21056039999999
Yankee Tower Diner,"174 Broad Ave, Fairview, NJ",(201) 943-4608,40.8204156,-74.0079353
Holly Brook Diner,"1655 Route 38, Mount Holly, NJ",(609) 267-7699,39.9826826,-74.7824018
Schuyler Diner,"500 Schuyler Ave, Lyndhurst, NJ",(201) 933-6196,40.8008775,-74.1158757
Triangle Diner,"112 Goffle Rd, Hawthorne, NJ",(973) 427-8408,40.9376937,-74.1646001
Superior Diner,"464 Smith St, Perth Amboy, NJ",(908) 442-3772,40.5127903,-74.28297529999999
White Diamond ,"1501 Wood Ave, Linden, NJ",(908) 862-9821,40.639742,-74.268106
Angelo's Glassboro Diner,"26 N. Mail St., Glassboro, NJ",(609) 881-9854,39.70328629999999,-75.1115974
Dynasty Diner,"117 E. Main St., Tuckerton, NJ",(609) 296-7227,39.603748,-74.3393753
Middletown Diner,"1887 Route 35, Middletown, NJ",(732) 671-1316,40.4101335,-74.1323027
Golden Harvest Diner,"591 Bloomfield Ave., Bloomfield, NJ",(973) 429-0124,40.7941895,-74.19800049999999
Blue Mist Diner,"44 Route 46, Washington Township, NJ",(908) 813-0404,40.8483232,-74.8201006
Waterfalls Restaurant,"550 Bergen Blvd, Ridgefield, NJ",(201) 943-5664,40.82636249999999,-73.9958051
State Diner,"569 Valley Rd., West Orange, NJ",(973) 325-9495,40.768675,-74.24684599999999
Alexander's Diner Restaurant,"157 Fries Mill Rd., Turnersville, NJ",(609) 232-3800,39.740754,-75.0473147
Lee's Diner,"518 Main St., Spotswood, NJ",(908) 723-0218,40.3918976,-74.3895943
Marie's Diner,"449 Ferry St, Newark, NJ",(973) 589-3274,40.73056,-74.1425995
Bayside Diner,"2404 Long Beach Blvd., Spray Beach, NJ",(609) 492-5202,39.5787082,-74.2297284
Fairmount Diner,"641 Main St., Hackensack, NJ",(201) 489-2135,40.8992207,-74.040846
Parkside Diner,"1769 N. Olden Ave., Ewing, NJ",(609) 883-2123,40.2483138,-74.77135369999999
King George Diner and Restaurant,"721 Paterson-Hamburg Turnpike, Wayne, NJ",(973) 696-3010,40.956474,-74.2228567
Town &amp; Country Diner &amp; Restaurant,"610 Shiloh Pike, Bridgetown, NJ",(609) 453-9495,39.4395289,-75.2651469
Golden Pigeon II,"534 Salem-Quinton Rd., Quinton, NJ",(609) 935-8011,39.560636,-75.44990729999999
Top's Diner,"699 Broadway, Bayonne, NJ",(201) 437-6949,40.6711433,-74.11288069999999
Train Diner,"548 W Passaic, West Caldwell, NJ",(973) 227-5694,40.8485656,-74.2982298
White Star Diner,"715 W Front St, Plainfield, NJ",(908) 756-5411,40.6104399,-74.4348353
Maplewood Diner Restaurant,"1473 Springfield Ave, Maplewood, NJ",(973) 763-6511,40.723032,-74.25117399999999
Tropicana Diner &amp; Restaurant,"537 Morris Ave, Elizabeth, NJ",(908) 351-7775,40.673459,-74.2236592
Kenilworth Diner  Restaurant,"614 Boulevard, Kenilworth, NJ",(201) 245-6565,40.6770569,-74.2879846
Plaza 23 Diner,"411 Route 23, Pompton Plains, NJ",(201) 835-1952,40.9641909,-74.2848066
Fontainbleau Diner Restaurant,"1050 Stelton Rd., Piscataway, NJ",(908) 981-0090,40.5494804,-74.4307457
Tiffany Restaurant &amp; Diner,"882 Broadway, W Long Branch, NJ",(908) 222-6936,40.2985476,-74.0120657
Club Diner,"20 N. Black Horse Pike, Belmar, NJ",(609) 931-2880,39.86704719999999,-75.0802894
Kless Diner,"1212 Springfield Ave., Irvington, NJ",(973) 372-8672,40.7251538,-74.2389941
Lawrence Family Restaurant,"2495 Brunswick Ave., Lawrenceville, NJ",(609) 883-7222,40.2587904,-74.7298912
Lincoln Park Diner,"11 Lincoln Park Plaza, Lincoln Park, NJ",(201) 694-9571,40.9219433,-74.3026783
Point Restaurant,"160 Bergen Blvd., Fairview, NJ",(201) 943-6719,40.8169367,-74.0016742
Galaxy Diner,"293 St. Georges Ave., Rahway, NJ",(908) 388-4220,40.5957352,-74.29025159999999
Oasis Diner Restaurant,"1255 Route 10, Whippany, NJ",(201) 267-6040,40.8349701,-74.4436247
Conlon's Diner,"1807 45th St., North Bergen, NJ",(201) 866-4554,40.784076,-74.0336548
Your Place Restaurant,"301 Broad Ave, Leonia, NJ",(201) 461-6304,40.8612138,-73.9879333
Park Place Diner Restaurant,"1101 Hamilton Ave., Trenton, NJ",(609) 392-8755,40.2188627,-74.7353451
Midas Touch,"61 Westfield Ave, Roselle Park, NJ",(908) 241-1335,40.6614316,-74.2661466
Oak Tree Diner,"1567 Oak Tree Rd., Iselin, NJ",(908) 549-6655,40.5727161,-74.3339032
Saddle Brook Diner,"30 Market St, Saddle Brook, NJ",(201) 843-5929,40.8949987,-74.0802398
Embassy Diner,"2431 Morris Ave., Union, NJ",(908) 687-2260,40.7022354,-74.2879954
Park Diner,"372 Centre St., Nutley, NJ",(973) 235-0937,40.8150318,-74.1616852
Betty Lind Diner &amp; Restaurant,"1932 St. George Ave., Linden, NJ",(908) 925-2777,40.6524503,-74.23614990000002
Ocean Bay Diner,"1517 Ocean Rd. (Route 88), Point Pleasant, NJ",(908) 295-1070,40.0836376,-74.0662816
Bay Avenue Diner,"32 E. Bay Ave., Manahawkin, NJ",(609) 597-4771,39.6949668,-74.2577843
White Manna,"358 River St, Hackensack, NJ",(201) 342-0914,40.8891906,-74.0384131
Golden Eagle Diner,"2602 Route 130, Cinnaminson, NJ",(609) 829-0094,40.0064279,-74.9739599
Diner Express ,"47 Washington St., Morristown, NJ",(201) 605-5222,40.7981522,-74.4837029
Pat's Riverview Diner,"810 River Rd. (Route 35), Belmar, NJ",(732) 681-1728,40.1811976,-74.02784419999999
Mountain View Diner,"1012 Tabor Rd, Parsippany, NJ",(201) 898-9022,40.864119,-74.470568
Carousel Diner,"815 Route 22 West, North Plainfield, NJ",(908) 756-8916,40.62501779999999,-74.4422712
Morristown Diner,"73 Morris, Morristown, NJ",(201) 538-0228,40.7971691,-74.4774377
Horizon Diner,"1300 Route 130 North, Burlington Township, NJ",(609) 387-0550,40.084561,-74.83363469999999
Family Diner and Restaurant,"606 E. Main St., Millville, NJ",(609) 825-8040,39.3955701,-75.0309655
Royal Cliffs Restaurant,"717 Palisades Ave, Engelwood Cliffs, NJ",(201) 569-7277,40.881113,-73.95140599999999
G and L Diner,"774 Convery Blvd., Perth Amboy, NJ",(908) 324-2707,40.5276596,-74.2799642
Howell Diner Restaurant,"2200 Route 9, Howell, NJ",(908) 431-9001,40.1831518,-74.249479
Eagles Nest Diner,"4 Hamburg Ave., Sussex, NJ",(973) 702-8763,41.2075869,-74.607412
Ormos Diner,"45 New St., Irvington, NJ",(973) 375-5333,40.7269342,-74.2308936
Cavalier Restaurant Diner,"2401 Wood Ave., Roselle, NJ",(908) 241-8386,40.6378699,-74.2646704
Tunnel Diner,"184 14th St, Jersey City, NJ",(201) 653-4523,40.731893,-74.040491
Joe's Chadwick Diner,"3469 Route 35, Chadwick, NJ",(908) 830-2288,39.9943009,-74.063347
Plaza Diner,"468 Haledon Ave., Haledon, NJ",(973) 595-9652,40.939303,-74.1833451
Liberty Two Diner,"2496 Route 130, Bordentown, NJ",(609) 298-8933,40.1121984,-74.7701383
Dynasty Restaurant,"7001 Route 130 South, Delran, NJ",(609) 461-3151,40.0211951,-74.9449882
Blue Moon Diner,"1 Sloan St., South Orange, NJ",(973) 761-6666,40.7462331,-74.2601986
Ambrosia Diner,"1239 Roosevelt Ave., Carteret, NJ",(908) 969-0222,40.5930766,-74.2404182
Twins Diner,"91 Canal St, Paterson, NJ",(973) 345-9860,40.8997064,-74.1688722
Malibu Diner Restaurant,"259 14th St, Hoboken, NJ",(201) 656-1595,40.7537743,-74.02913079999999
Budd Lake Diner,"100 Route 46 , Budd Lake, NJ",(201) 691-9100,40.887541,-74.72620169999999
Memory Lane Diner,"1137 Fischer Blvd, Toms River, NJ",(908) 270-1355,39.9868618,-74.14601220000002
Old Bridge Diner Restaurant,"246 Englishtown Rd. , Old Bridge, NJ",(908) 251-4144,40.3565984,-74.3549917
Golden Palace Restaurant Diner,"200 N. Virginia Ave., Carneys Point, NJ",(609) 299-3242,39.7352044,-75.4592146
Golden Palace Diner,"2623 S. Delsea Dr. (Route 47), Vineland, NJ",(609) 692-5424,39.4488168,-75.0418425
New Sparta Diner,"80 Woodport Rd., Sparta, NJ",(201) 729-2425,41.0304519,-74.637348
Dynasty Diner and Restaurant,"295 Morris Ave., Elizabeth, NJ",(908) 352-8636,40.6686935,-74.21708350000002
Golden Star Diner and Restaurant,"916 E. Clements Bridge Rd., Runnemede, NJ",(609) 939-4874,39.8568632,-75.0623118
Hibernia Diner Restaurant,"9 Green Pond Rd., Rockaway, NJ",(201) 625-3255,40.9114991,-74.5019459
Hagler's Diner,"279 Kinderkamack Rd., Oradell, NJ",(201) 967-9189,40.94989289999999,-74.03240029999999
Three Corners Diner &amp; Restaurant,"8 Centre St, Nutley, NJ",(973) 661-2925,40.8099096,-74.1464512
Shalimar Diner,"1335 Oak Tree Rd., Iselin, NJ",(908) 283-3350,40.5736298,-74.3241463
Homer's Diner  Restaurant,"201 Crescent Blvd. (Route 130), Collingswood, NJ",(609) 858-8461,39.9196733,-75.0887604
Nevada Diner,"293 Broad St, Bloomfield, NJ",(973) 743-9393,40.8037615,-74.1943656
Roney's,"50 Haddon Ave, Collingswood, NJ",(609) 854-9746,39.9218093,-75.08609539999999
Tenafly Diner,"16 W. Railroad Ave, Tenafly, NJ",(201) 567-5522,40.9255353,-73.96487789999999
Village Diner,"117 Broad St, Flemington, NJ",(908) 284-9091,40.506763,-74.8563549
Mama's Dream International Diner,"728 State St, Perth Amboy, NJ",(908) 826-3630,40.5224214,-74.263804
Carl's Diner,"2020 Greenwood Lake Turnpike, Hewitt, NJ",(973) 728-1010,41.1534863,-74.350582
Big Ernie's Diner,"3801 Atlantic Ave., Wildwood, NJ",(609) 522-8288,38.986477,-74.81415
White Pearl Diner,"551 Chancellor Ave, Irvington, NJ",(973) 372-4247,40.714199,-74.230142
Frank's Diner,"51 Parsippany Rd., Whippany, NJ",(201) 428-9752,40.8228801,-74.4181143
Northvale Diner,"247 Livingston Ave., Northvale, NJ",(201) 767-6267,41.0130436,-73.946606
Whippany Diner,"417 Route 10, Whippany, NJ",(201) 428-5054,40.8206055,-74.4080281
Hightstown Diner,"151 Mercer St., Hightstown, NJ",(609) 443-4600,40.2679147,-74.5254229
Boiling Springs Diner,"168 Union Ave., East Rutherford, NJ",(201) 460-0081,40.8285416,-74.1000686
Linden House Diner,"200 St. Georges Ave. (Route 27), Linden, NJ",(908) 486-3930,40.6401334,-74.2612388
Ringwood Family Restaurant &amp; Diner,"16 Greenwood Lake Turnpike, Ringwood, NJ",(973) 831-7767,41.0746379,-74.2799797
Coach House Restaurant ,"55 Route 4 East, Hackensack, NJ",(201) 488-4999,40.9043993,-74.03237419999999
Manalapan Diner &amp; Restaurant,"48 Route 9, Manalapan, NJ",(908) 462-7165,40.2952131,-74.29930759999999
Silverton Diner,"1848 Hooper Ave., Toms River, NJ",(908) 255-9200,40.0121087,-74.1473135
Alexis Diner,"3130 Route 10, Denville, NJ",(201) 361-8000,40.871372,-74.51735049999999
Bill's Plaza Diner,"1262 Paterson Plank Rd., Secaucus, NJ",(201) 864-1531,40.7900431,-74.05669379999999
Pilgrim Diner  Restaurant,"82 Pompton Ave., Cedar Grove, NJ",(201) 239-2900,40.835956,-74.2274029
John and Elaine's Restaurant,"1103 Richmond Ave., Point Pleasant Beach, NJ",(908) 899-0089,40.0862419,-74.04900049999999
Ocean Queen Diner and Restaurant,"906 Route 70 West, Brick, NJ",(732) 458-7088,40.0701038,-74.1304984
Bayonne Diner,"226 Broadway, Bayonne, NJ",(201) 823-8416,40.6545888,-74.125907
Arena Diner Restaurant,"250 Essex St., Hackensack, NJ",(201) 342-2275,40.8813939,-74.05449589999999
Denville Diner Restaurant,"17 Broadway, Denville, NJ",(201) 625-1909,40.8921319,-74.47785999999999
Zikos Diner,"610 Delilah Rd, Pleasantville, NJ",(609) 646-6551,39.41027,-74.5256424
Sophia's Diner,"290 Route 9, Waretown, NJ",(609) 660-0001,39.771911,-74.20878119999999
Boonton Diner,"909 Main St., Boonton, NJ",(201) 263-9736,40.9061517,-74.4129817
Mexico Lindo,"221 Main St, Chatham, NJ",(201) 635-2022,40.7401614,-74.3813306
Arlington Diner,"1 River Rd., North Arlington, NJ",(201) 998-6262,40.7863147,-74.1463737
Lamp Post Diner,"6 Weeks Ave., North Wildwood, NJ",(609) 522-9348,39.011572,-74.793684
